_genre,type,release_year,age_certification,total_media,imdb_vote
drama,MOVIE,2012,R,10,3638678
drama,MOVIE,2017,R,28,2298451
drama,SHOW,2017,TV-MA,43,2295379
action,MOVIE,2010,PG-13,4,2291765
thriller,MOVIE,2010,PG-13,2,2285782
music,MOVIE,2010,PG-13,1,2268288
scifi,MOVIE,2010,PG-13,1,2268288
drama,MOVIE,2019,R,31,2177689
drama,SHOW,2019,TV-MA,91,2150643
thriller,SHOW,2017,TV-MA,23,2086635
thriller,MOVIE,2019,R,29,2041309
drama,MOVIE,2015,R,19,2000066
comedy,MOVIE,1994,PG-13,1,1994599
drama,MOVIE,1994,PG-13,1,1994599
romance,MOVIE,1994,PG-13,1,1994599
drama,MOVIE,2013,R,13,1894588
thriller,MOVIE,2015,R,16,1873805
thriller,MOVIE,2017,R,23,1868162
crime,SHOW,2017,TV-MA,28,1860791
crime,MOVIE,2019,R,19,1831596
drama,SHOW,2016,TV-14,37,1795764
drama,MOVIE,2018,R,47,1781909
drama,SHOW,2008,TV-MA,4,1749989
thriller,SHOW,2008,TV-MA,4,1749989
crime,SHOW,2008,TV-MA,3,1730305
action,MOVIE,2011,PG-13,8,1727007
drama,SHOW,2013,TV-MA,10,1710739
scifi,SHOW,2016,TV-14,12,1656137
drama,MOVIE,2016,R,22,1630370
drama,SHOW,2020,TV-MA,76,1604652
fantasy,SHOW,2016,TV-14,11,1554059
drama,MOVIE,2011,PG-13,11,1533959
drama,SHOW,2018,TV-MA,75,1504210
thriller,MOVIE,2011,PG-13,12,1486578
drama,MOVIE,1998,R,3,1486213
drama,MOVIE,2021,R,39,1484305
western,MOVIE,2012,R,1,1472668
drama,SHOW,2021,TV-MA,87,1472497
thriller,MOVIE,2012,R,6,1453618
drama,MOVIE,2014,PG-13,14,1434922
drama,SHOW,2015,TV-MA,23,1421577
romance,MOVIE,2011,PG-13,6,1379131
comedy,MOVIE,2019,R,19,1370774
war,MOVIE,1998,R,1,1346020
drama,MOVIE,2010,PG-13,7,1335496
drama,MOVIE,2003,R,5,1334006
drama,MOVIE,2020,R,32,1326197
thriller,MOVIE,2016,R,20,1316833
comedy,MOVIE,2011,PG-13,8,1298840
thriller,MOVIE,2018,R,38,1289431
thriller,MOVIE,2020,R,27,1258014
action,MOVIE,2003,R,5,1222596
crime,MOVIE,2017,R,17,1220473
drama,MOVIE,2017,PG-13,22,1219553
crime,MOVIE,2015,R,8,1195197
thriller,MOVIE,2013,R,10,1154619
drama,MOVIE,2007,R,5,1138752
action,MOVIE,2019,R,14,1138342
drama,SHOW,2014,TV-14,17,1138091
thriller,SHOW,2018,TV-MA,40,1131513
action,MOVIE,2017,R,14,1120061
thriller,MOVIE,2014,PG-13,8,1102144
thriller,SHOW,2016,TV-14,9,1099029
thriller,MOVIE,2003,R,5,1065164
scifi,SHOW,2019,TV-MA,25,1047455
drama,MOVIE,2010,R,7,1030208
family,MOVIE,2010,PG,5,1020106
animation,MOVIE,2010,PG,4,1016966
horror,SHOW,2016,TV-14,3,1010998
action,MOVIE,2009,PG-13,5,1003855
fantasy,MOVIE,2010,PG,3,1002694
thriller,MOVIE,2009,PG-13,4,995090
drama,SHOW,2010,TV-MA,3,968738
comedy,MOVIE,2010,PG,7,963293
drama,MOVIE,2017,,122,956176
action,SHOW,2014,TV-14,11,950712
comedy,SHOW,2019,TV-MA,41,946799
action,SHOW,2010,TV-MA,2,945353
horror,SHOW,2010,TV-MA,2,945353
thriller,SHOW,2010,TV-MA,2,945353
scifi,SHOW,2010,TV-MA,1,945125
thriller,SHOW,2021,TV-MA,45,935454
comedy,MOVIE,2012,R,6,914738
drama,SHOW,2005,TV-14,4,911576
scifi,MOVIE,2017,R,6,908182
history,MOVIE,2017,PG-13,6,902277
scifi,SHOW,2014,TV-14,8,897110
crime,SHOW,2018,TV-MA,42,889091
horror,SHOW,2019,TV-MA,15,885582
drama,MOVIE,2010,PG,9,879255
thriller,MOVIE,2008,PG-13,4,873555
action,SHOW,2019,TV-MA,27,873371
thriller,MOVIE,2017,PG-13,5,868303
scifi,MOVIE,2021,R,11,864081
action,SHOW,2021,TV-MA,29,863490
romance,MOVIE,2013,R,6,860789
war,MOVIE,2017,PG-13,3,855661
crime,MOVIE,2012,R,5,853226
thriller,MOVIE,2014,R,7,834102
action,MOVIE,2013,R,4,833971
drama,SHOW,2011,TV-MA,6,833809
drama,MOVIE,2009,PG-13,7,833090
thriller,MOVIE,1997,R,5,830481
fantasy,SHOW,2019,TV-MA,15,826899
crime,SHOW,2015,TV-MA,4,815825
drama,MOVIE,2008,R,5,807013
crime,SHOW,2013,TV-MA,3,802844
action,MOVIE,2010,PG,2,802340
crime,MOVIE,2021,R,24,798292
crime,MOVIE,2016,R,14,797304
crime,MOVIE,1976,R,1,795222
drama,MOVIE,1976,R,1,795222
thriller,MOVIE,2021,R,29,793897
action,MOVIE,2017,PG-13,8,793534
drama,MOVIE,2021,,142,784154
crime,MOVIE,2014,R,4,774325
fantasy,MOVIE,2011,PG-13,4,771156
drama,MOVIE,2019,,177,770261
action,MOVIE,2021,R,22,765676
thriller,SHOW,2015,TV-MA,10,761260
thriller,MOVIE,2006,R,4,758978
crime,MOVIE,2020,R,13,757485
action,MOVIE,2008,R,4,752829
war,MOVIE,2014,PG-13,1,748654
family,MOVIE,2005,PG,3,744052
fantasy,MOVIE,2005,PG,3,744052
drama,MOVIE,2016,PG-13,23,739348
drama,MOVIE,2020,,131,733822
comedy,SHOW,2015,TV-MA,17,732341
scifi,MOVIE,2018,R,11,728413
thriller,MOVIE,2007,PG-13,3,724684
drama,MOVIE,1987,R,1,723306
war,MOVIE,1987,R,1,723306
action,MOVIE,2012,R,5,722194
horror,MOVIE,2013,R,5,721154
drama,MOVIE,2014,R,5,714626
comedy,MOVIE,2014,PG,10,704949
comedy,MOVIE,2021,R,13,701940
romance,MOVIE,2012,R,1,697481
thriller,MOVIE,2011,R,3,695305
action,MOVIE,2016,R,16,691264
action,MOVIE,2020,R,19,689361
drama,MOVIE,2018,,137,685820
drama,SHOW,2016,TV-MA,36,678359
action,MOVIE,2007,PG-13,6,673469
action,MOVIE,2008,PG-13,7,666517
thriller,MOVIE,2006,,4,656017
european,MOVIE,2017,PG-13,4,647554
european,MOVIE,2013,R,4,646840
european,MOVIE,2006,,2,644545
action,MOVIE,2006,,1,644336
thriller,MOVIE,2019,,59,639408
thriller,SHOW,2019,TV-MA,37,639365
crime,MOVIE,2009,PG-13,2,637290
comedy,MOVIE,2017,R,9,632248
drama,MOVIE,2011,R,3,631231
thriller,MOVIE,2010,R,5,630026
animation,MOVIE,2014,PG,5,624450
family,MOVIE,2014,PG,5,624450
thriller,MOVIE,2017,,46,623855
crime,SHOW,2019,TV-MA,42,620816
thriller,SHOW,2005,TV-14,2,617830
thriller,SHOW,2020,TV-MA,39,599829
crime,SHOW,2021,TV-MA,57,594523
action,SHOW,2017,TV-MA,12,590452
comedy,MOVIE,2017,,134,589096
scifi,MOVIE,2013,R,1,586679
scifi,SHOW,2018,TV-MA,24,584470
comedy,SHOW,2017,TV-MA,29,580475
drama,MOVIE,2006,R,3,577001
drama,SHOW,2015,TV-14,21,574817
drama,MOVIE,2003,PG-13,3,571282
romance,MOVIE,2003,PG-13,3,571282
western,MOVIE,2015,R,1,570138
thriller,MOVIE,2007,R,5,568425
history,MOVIE,2019,R,4,567671
scifi,MOVIE,2012,R,1,566791
thriller,MOVIE,2021,,59,565350
drama,MOVIE,2020,PG-13,17,560101
european,SHOW,2017,TV-MA,12,556346
sport,SHOW,2020,TV-MA,9,554139
action,MOVIE,2012,PG-13,5,553097
thriller,SHOW,2011,TV-MA,4,553010
war,MOVIE,2003,R,2,550163
european,MOVIE,2003,R,2,543216
thriller,MOVIE,2008,R,5,542181
horror,MOVIE,2015,R,6,539469
drama,MOVIE,2018,PG-13,20,538746
european,SHOW,2011,TV-MA,2,537997
drama,SHOW,2018,TV-14,30,535035
drama,MOVIE,2019,PG-13,22,532450
comedy,MOVIE,1975,PG,1,530877
fantasy,MOVIE,1975,PG,1,530877
scifi,SHOW,2011,TV-MA,2,528145
comedy,MOVIE,2018,R,24,524048
romance,MOVIE,2019,R,7,517926
european,SHOW,2013,TV-MA,2,517482
fantasy,MOVIE,2014,PG,3,507447
drama,MOVIE,1997,PG-13,3,507237
comedy,MOVIE,2011,PG,8,505631
action,MOVIE,2010,R,3,503884
horror,MOVIE,2016,R,5,502278
scifi,MOVIE,2012,PG-13,2,498059
thriller,MOVIE,2012,PG-13,2,498059
romance,MOVIE,2007,PG-13,5,493763
comedy,MOVIE,2018,,124,493051
comedy,MOVIE,2010,R,4,487313
comedy,MOVIE,2016,R,8,483175
action,MOVIE,2005,PG-13,3,481769
thriller,MOVIE,2002,R,2,477673
scifi,MOVIE,2005,PG-13,2,477472
thriller,MOVIE,2005,PG-13,2,477472
comedy,MOVIE,2020,,122,477339
action,MOVIE,1998,PG-13,3,476291
thriller,MOVIE,1998,PG-13,3,476291
comedy,MOVIE,2003,R,1,474176
romance,MOVIE,2003,R,1,474176
drama,MOVIE,2005,PG-13,6,472669
comedy,MOVIE,2005,PG,2,472308
drama,SHOW,2012,TV-14,6,471879
horror,MOVIE,2018,R,8,470612
sport,MOVIE,2011,PG-13,2,470327
scifi,SHOW,2017,TV-MA,8,469974
crime,MOVIE,2011,PG-13,4,469494
thriller,MOVIE,1997,PG-13,3,469388
sport,MOVIE,2013,R,1,465254
horror,MOVIE,2017,R,10,465178
crime,SHOW,2012,TV-14,3,465001
action,SHOW,2012,TV-14,3,463977
comedy,MOVIE,2009,PG-13,4,459178
comedy,MOVIE,2007,PG-13,6,456661
crime,MOVIE,2011,R,1,454917
crime,MOVIE,2003,R,3,450408
drama,SHOW,2021,TV-14,24,449588
fantasy,MOVIE,2006,PG,3,445597
drama,SHOW,2006,TV-14,6,443183
european,MOVIE,2019,,39,442096
action,MOVIE,2009,R,4,439863
drama,MOVIE,2008,PG-13,10,438879
fantasy,MOVIE,2003,PG-13,2,437709
drama,MOVIE,2015,PG-13,17,436835
european,MOVIE,2018,R,17,436322
european,MOVIE,2010,R,2,432746
thriller,MOVIE,2018,,56,432075
scifi,SHOW,2012,TV-14,2,429615
history,MOVIE,2003,R,1,429097
fantasy,SHOW,2005,TV-14,1,428639
horror,SHOW,2005,TV-14,1,428639
scifi,SHOW,2005,TV-14,1,428639
drama,SHOW,2013,TV-14,7,426435
comedy,MOVIE,2020,R,18,423458
comedy,MOVIE,2014,PG-13,8,423083
crime,MOVIE,2018,R,16,422297
comedy,MOVIE,2019,PG-13,16,422078
drama,MOVIE,2007,PG-13,7,420114
action,MOVIE,2015,R,7,417625
drama,MOVIE,1997,,3,416185
comedy,MOVIE,2021,PG-13,12,414936
crime,SHOW,2020,TV-MA,35,413550
horror,MOVIE,2021,,25,412701
drama,MOVIE,2009,R,5,410549
drama,SHOW,2017,TV-14,28,407539
romance,MOVIE,2019,PG-13,14,406304
drama,MOVIE,2021,PG-13,19,403333
action,SHOW,2018,TV-MA,24,401756
thriller,SHOW,2014,TV-14,4,401374
action,MOVIE,2000,R,2,400330
thriller,MOVIE,2020,,53,399787
crime,SHOW,2014,TV-14,4,398943
action,MOVIE,2018,R,14,398594
comedy,MOVIE,2021,,113,397656
comedy,MOVIE,1979,R,2,397560
action,MOVIE,2014,PG,2,396355
family,MOVIE,2011,PG,7,395220
scifi,MOVIE,2003,R,1,393998
drama,MOVIE,1986,R,1,392790
horror,MOVIE,1973,R,1,391942
action,MOVIE,2021,,36,391329
history,MOVIE,2008,PG-13,3,390921
fantasy,MOVIE,2014,PG-13,4,389330
action,MOVIE,1997,R,3,387712
comedy,MOVIE,2005,PG-13,6,386843
romance,MOVIE,2005,PG-13,5,385395
comedy,MOVIE,2016,PG-13,10,384392
drama,MOVIE,2007,PG,6,383862
action,MOVIE,2015,PG-13,8,383839
romance,MOVIE,2020,,50,382989
scifi,MOVIE,2019,,15,379456
romance,MOVIE,2015,R,6,378894
fantasy,SHOW,2013,TV-MA,3,378343
scifi,SHOW,2013,TV-MA,3,378343
scifi,MOVIE,2014,PG-13,3,376862
european,MOVIE,2015,R,3,376619
scifi,SHOW,2021,TV-MA,22,374853
animation,SHOW,2006,TV-14,3,374277
drama,SHOW,2014,TV-MA,5,373598
drama,MOVIE,2012,PG-13,4,371478
european,MOVIE,2009,R,2,370441
scifi,SHOW,2020,TV-MA,16,366997
fantasy,MOVIE,2009,PG-13,3,366565
scifi,MOVIE,1997,PG-13,2,365929
horror,SHOW,2013,TV-MA,2,364971
crime,MOVIE,1997,R,2,364698
drama,MOVIE,1997,R,2,364698
scifi,SHOW,2006,TV-14,2,364514
thriller,SHOW,2006,TV-14,2,364514
drama,MOVIE,1999,R,4,363680
documentation,MOVIE,2002,R,3,362465
horror,MOVIE,1997,,1,361422
thriller,MOVIE,1997,,1,361422
european,MOVIE,2017,R,8,358062
scifi,MOVIE,2009,PG-13,1,357557
war,MOVIE,2009,PG-13,1,357557
thriller,MOVIE,2021,PG-13,7,356603
comedy,SHOW,2018,TV-14,20,352707
fantasy,MOVIE,2007,PG-13,3,351178
history,MOVIE,2012,PG-13,2,350925
war,MOVIE,2012,PG-13,2,350925
romance,MOVIE,2006,PG,3,350452
action,MOVIE,2016,PG,4,349303
romance,MOVIE,2014,PG-13,7,349263
action,MOVIE,1995,R,3,346924
thriller,MOVIE,1995,R,3,346924
romance,MOVIE,2021,R,11,346859
comedy,MOVIE,2018,PG-13,23,346804
action,MOVIE,2021,PG-13,8,346411
romance,MOVIE,2012,PG-13,3,345685
drama,MOVIE,2013,PG-13,12,344967
crime,MOVIE,2021,,45,344922
comedy,SHOW,2011,TV-14,8,343232
crime,MOVIE,2009,R,4,343148
romance,SHOW,2020,TV-MA,16,343117
crime,MOVIE,1984,R,1,342335
drama,MOVIE,1984,R,1,342335
european,MOVIE,1984,R,1,342335
european,MOVIE,2002,PG-13,1,341888
horror,MOVIE,2002,PG-13,1,341888
comedy,SHOW,2013,TV-MA,3,340939
horror,MOVIE,1998,R,2,340450
action,SHOW,2013,TV-MA,3,340434
animation,SHOW,2013,TV-MA,2,338753
romance,MOVIE,2018,PG-13,11,338528
fantasy,MOVIE,2011,PG,5,337897
fantasy,MOVIE,2018,R,6,337790
animation,MOVIE,2011,PG,4,337490
scifi,MOVIE,2015,R,2,337104
comedy,SHOW,2021,TV-MA,32,335854
drama,MOVIE,2016,PG,4,333565
western,MOVIE,2010,PG-13,1,333378
horror,MOVIE,2019,,18,332590
drama,SHOW,2019,TV-14,25,332111
comedy,MOVIE,2020,PG-13,12,330757
action,MOVIE,1986,PG,1,329656
drama,MOVIE,1986,PG,1,329656
action,MOVIE,2007,R,1,329417
european,MOVIE,2005,PG-13,3,328962
scifi,SHOW,2021,TV-14,8,327977
romance,MOVIE,2018,R,11,327751
comedy,MOVIE,2019,,141,327544
comedy,MOVIE,2006,PG,3,325351
family,MOVIE,2006,PG,3,325351
comedy,SHOW,2015,TV-14,9,324897
romance,SHOW,2009,TV-14,4,324781
thriller,MOVIE,2009,R,6,324476
sport,MOVIE,2009,PG-13,1,323939
drama,SHOW,2009,TV-14,5,323120
scifi,MOVIE,1997,R,2,323087
fantasy,SHOW,2021,TV-14,6,321263
documentation,SHOW,2020,TV-MA,31,321023
action,MOVIE,2014,PG-13,6,318112
scifi,SHOW,2015,TV-14,7,315300
horror,MOVIE,2017,,13,314970
crime,SHOW,2016,TV-14,3,314202
horror,MOVIE,2013,PG-13,3,313502
thriller,SHOW,2009,TV-14,2,312727
crime,MOVIE,2017,,31,311674
fantasy,SHOW,2009,TV-14,1,310776
horror,SHOW,2009,TV-14,1,310776
scifi,SHOW,2009,TV-14,1,310776
action,SHOW,2021,TV-14,7,309416
comedy,SHOW,2020,TV-MA,30,309100
documentation,MOVIE,2017,,65,308914
comedy,MOVIE,2012,PG-13,4,306836
action,MOVIE,2002,R,2,306766
action,SHOW,2020,TV-MA,16,306203
fantasy,MOVIE,2017,R,3,306085
comedy,SHOW,1989,TV-PG,2,305566
action,SHOW,2005,TV-Y7,2,305508
animation,SHOW,2005,TV-Y7,2,305508
family,SHOW,2005,TV-Y7,2,305508
scifi,SHOW,2005,TV-Y7,2,305508
fantasy,SHOW,2021,TV-MA,17,304690
comedy,MOVIE,2010,PG-13,3,302473
crime,SHOW,2006,TV-14,1,302147
fantasy,SHOW,2006,TV-14,1,302147
thriller,MOVIE,2016,PG-13,12,302064
horror,MOVIE,2018,,28,301505
scifi,MOVIE,2011,PG-13,1,300074
animation,MOVIE,2006,PG,2,297554
comedy,SHOW,2003,TV-MA,1,297552
history,MOVIE,2009,R,1,297525
fantasy,SHOW,2005,TV-Y7,1,297336
drama,MOVIE,2000,R,2,295663
action,MOVIE,2016,PG-13,8,295449
romance,SHOW,2005,TV-14,2,293746
scifi,SHOW,2018,TV-14,13,292700
crime,MOVIE,2001,R,2,291460
drama,MOVIE,2001,R,2,291460
thriller,MOVIE,1993,R,3,287517
thriller,MOVIE,2019,PG-13,8,287077
animation,SHOW,2019,TV-MA,12,286276
comedy,MOVIE,2010,,9,285993
horror,MOVIE,2021,R,9,285305
drama,MOVIE,2016,,63,284523
drama,MOVIE,2005,PG,3,284370
comedy,SHOW,2006,TV-14,4,283103
horror,SHOW,2018,TV-MA,13,283076
romance,SHOW,2018,TV-MA,14,281250
european,MOVIE,2011,PG-13,2,280900
comedy,MOVIE,2008,R,1,280121
romance,MOVIE,2008,R,1,280121
romance,MOVIE,2018,,49,279606
fantasy,SHOW,2020,TV-MA,13,277014
western,MOVIE,1995,R,2,275862
romance,MOVIE,2017,,45,275181
crime,MOVIE,2012,PG-13,2,274294
romance,SHOW,2017,TV-MA,10,273073
family,MOVIE,2007,PG-13,2,273059
crime,SHOW,2015,TV-14,8,272969
comedy,SHOW,2019,TV-14,15,272473
romance,MOVIE,2005,PG,2,271336
crime,MOVIE,2019,,32,270238
history,MOVIE,2000,R,1,270231
war,MOVIE,2000,R,1,270231
drama,SHOW,2022,TV-MA,32,270026
fantasy,MOVIE,2012,PG-13,2,270000
comedy,MOVIE,2006,PG-13,5,268482
action,MOVIE,1998,R,1,267181
scifi,MOVIE,1998,R,1,267181
thriller,MOVIE,2013,PG-13,3,267007
european,MOVIE,2007,PG-13,2,266274
action,MOVIE,2017,,30,266107
action,MOVIE,2010,,3,265639
crime,MOVIE,2010,,3,265639
animation,MOVIE,2005,PG,1,265023
comedy,MOVIE,2004,PG-13,5,263412
crime,MOVIE,2002,R,1,263212
drama,MOVIE,2002,R,1,263212
horror,MOVIE,2012,PG-13,1,262998
comedy,MOVIE,2001,PG-13,1,260975
european,MOVIE,2001,PG-13,1,260975
fantasy,MOVIE,2020,R,5,258967
horror,MOVIE,2003,R,2,258727
crime,MOVIE,2021,PG-13,3,258568
crime,MOVIE,2008,PG-13,4,258531
comedy,MOVIE,2009,PG,6,257995
comedy,MOVIE,2007,PG,5,257087
action,SHOW,2018,TV-14,13,256878
european,SHOW,2016,TV-MA,6,256131
history,SHOW,2019,TV-MA,11,255261
romance,SHOW,2011,TV-14,5,254269
romance,MOVIE,2010,PG,5,253030
comedy,SHOW,2009,TV-PG,1,252564
family,MOVIE,2007,PG,2,252296
action,MOVIE,2014,R,3,250639
crime,SHOW,2017,TV-14,10,250596
comedy,MOVIE,2013,R,4,250595
drama,SHOW,2020,TV-14,26,250093
action,MOVIE,2020,,44,248756
european,MOVIE,2010,PG-13,1,247229
documentation,MOVIE,2012,PG-13,1,246008
action,SHOW,2015,TV-MA,6,245442
romance,MOVIE,2009,PG,4,245436
comedy,MOVIE,2011,R,3,244770
drama,MOVIE,2009,PG,5,243615
western,MOVIE,2016,R,2,243352
crime,MOVIE,2020,,35,243202
scifi,SHOW,2019,TV-14,10,241631
western,MOVIE,2017,R,2,241616
scifi,SHOW,2015,TV-MA,4,240468
comedy,MOVIE,1996,PG-13,3,239891
action,SHOW,2019,TV-14,11,239865
crime,MOVIE,2007,R,4,239008
comedy,SHOW,2018,TV-MA,30,238752
crime,SHOW,2013,TV-14,1,238138
thriller,SHOW,2013,TV-14,1,238138
drama,MOVIE,2022,,35,237487
fantasy,SHOW,2019,TV-14,14,236593
romance,MOVIE,2021,,63,236481
european,MOVIE,2008,R,2,236384
war,MOVIE,2008,R,2,236384
drama,MOVIE,2004,R,2,236289
romance,MOVIE,2016,PG-13,6,235210
comedy,SHOW,2016,TV-14,13,233341
fantasy,SHOW,2018,TV-14,12,232006
comedy,SHOW,2011,TV-MA,2,230920
horror,MOVIE,1984,R,1,230543
action,MOVIE,1993,R,2,230118
family,MOVIE,2021,PG,13,229152
documentation,MOVIE,2019,,63,228814
fantasy,MOVIE,2017,,19,227449
drama,MOVIE,2006,PG-13,4,227439
animation,MOVIE,2009,PG,1,226225
family,MOVIE,2009,PG,1,226225
fantasy,MOVIE,2009,PG,1,226225
scifi,MOVIE,2009,PG,1,226225
action,MOVIE,2020,PG-13,6,226028
european,MOVIE,2018,,57,224436
action,MOVIE,2018,,29,223459
crime,MOVIE,2013,R,4,222819
thriller,SHOW,2017,TV-14,8,221897
fantasy,MOVIE,2008,R,1,221095
history,MOVIE,2008,R,1,221095
horror,MOVIE,2020,R,7,220490
history,MOVIE,2020,R,4,219430
horror,MOVIE,2010,R,2,219400
sport,MOVIE,1996,PG-13,1,217534
comedy,MOVIE,1998,PG,2,216815
fantasy,MOVIE,2021,,23,216488
western,MOVIE,2021,R,2,216036
horror,MOVIE,2011,PG-13,4,216036
romance,MOVIE,2004,R,1,215678
european,MOVIE,2017,,45,215075
fantasy,MOVIE,2002,R,1,214461
horror,MOVIE,2002,R,1,214461
scifi,MOVIE,2002,R,1,214461
romance,MOVIE,1998,PG-13,3,213890
history,SHOW,2016,TV-MA,4,213703
crime,MOVIE,2020,PG-13,4,213691
horror,MOVIE,2019,PG-13,5,213615
thriller,MOVIE,1998,R,3,213462
romance,MOVIE,2019,,56,212928
drama,SHOW,2010,TV-14,5,212915
comedy,MOVIE,1989,R,1,212913
drama,MOVIE,1989,R,1,212913
romance,MOVIE,1989,R,1,212913
comedy,MOVIE,2015,R,11,212427
scifi,MOVIE,2019,PG-13,7,212361
horror,MOVIE,2006,R,2,212163
action,SHOW,2015,TV-14,5,211357
fantasy,MOVIE,2016,PG-13,7,210444
horror,MOVIE,2009,R,2,210104
drama,MOVIE,1998,PG,1,209258
romance,MOVIE,1998,PG,1,209258
comedy,MOVIE,2021,PG,11,208977
