_genre,type,release_year,total_media,imdb_vote
drama,MOVIE,2017,185,4604712
drama,MOVIE,2012,36,4270737
action,MOVIE,2010,12,3863628
drama,MOVIE,2019,258,3565304
thriller,MOVIE,2017,79,3476166
drama,MOVIE,2010,35,3279579
drama,MOVIE,2018,231,3143279
thriller,MOVIE,2010,12,3030148
drama,MOVIE,2016,116,3002307
thriller,MOVIE,2019,109,2986652
drama,SHOW,2017,95,2855251
drama,MOVIE,2021,220,2772195
drama,MOVIE,2020,221,2730649
drama,MOVIE,2015,79,2673972
drama,SHOW,2016,90,2609212
drama,SHOW,2019,166,2574487
drama,MOVIE,2013,54,2519343
drama,MOVIE,2011,39,2459892
comedy,MOVIE,2019,204,2353839
drama,MOVIE,2014,48,2337591
thriller,SHOW,2017,35,2314732
action,MOVIE,2017,55,2287497
thriller,MOVIE,2011,22,2272635
music,MOVIE,2010,2,2271256
scifi,MOVIE,2010,1,2268288
crime,MOVIE,2019,58,2267474
drama,SHOW,2018,138,2223436
drama,SHOW,2013,25,2170155
comedy,MOVIE,2011,32,2136308
drama,MOVIE,1994,8,2129173
romance,MOVIE,1994,6,2128033
action,MOVIE,2011,19,2124657
crime,SHOW,2017,42,2118006
thriller,MOVIE,2015,31,2081590
comedy,MOVIE,2010,27,2054530
thriller,MOVIE,2012,17,2043497
comedy,MOVIE,1994,4,2043017
drama,SHOW,2015,54,2020843
drama,MOVIE,2003,15,2016874
thriller,MOVIE,2014,28,2007246
drama,SHOW,2021,141,1995297
drama,MOVIE,2007,27,1970950
thriller,MOVIE,2018,106,1954313
drama,SHOW,2020,139,1919315
scifi,SHOW,2016,26,1884805
drama,SHOW,2008,12,1852958
thriller,MOVIE,2020,96,1841612
drama,MOVIE,1998,11,1790663
thriller,MOVIE,2016,59,1778174
thriller,SHOW,2008,5,1749989
crime,SHOW,2008,3,1730305
comedy,MOVIE,2021,160,1728383
crime,MOVIE,2017,57,1724466
thriller,MOVIE,2021,101,1722201
fantasy,SHOW,2016,28,1698047
thriller,MOVIE,1997,9,1661291
romance,MOVIE,2011,16,1614427
action,MOVIE,2019,62,1573311
drama,MOVIE,2009,28,1550672
action,MOVIE,2008,17,1548229
thriller,MOVIE,2006,12,1535021
thriller,MOVIE,2008,16,1534147
action,MOVIE,2021,71,1529310
thriller,MOVIE,2013,23,1528445
comedy,MOVIE,2018,200,1526829
drama,SHOW,2014,25,1512114
western,MOVIE,2012,1,1472668
action,MOVIE,2009,11,1458400
action,MOVIE,2016,42,1451942
drama,MOVIE,2008,30,1442242
comedy,MOVIE,2012,40,1434611
comedy,MOVIE,2017,178,1430058
thriller,SHOW,2018,56,1416359
crime,MOVIE,2021,73,1412496
war,MOVIE,1998,3,1354442
thriller,SHOW,2016,23,1354071
thriller,MOVIE,2007,14,1347080
comedy,MOVIE,2020,185,1342724
scifi,SHOW,2019,54,1338871
action,MOVIE,2012,22,1338010
thriller,MOVIE,2009,12,1320542
fantasy,MOVIE,2011,14,1293446
drama,MOVIE,1997,9,1289332
comedy,MOVIE,2014,53,1285355
crime,MOVIE,2015,16,1272992
comedy,SHOW,2019,97,1261895
european,MOVIE,2017,59,1243658
action,MOVIE,2003,7,1241831
drama,SHOW,2010,13,1237849
comedy,SHOW,2015,44,1235698
action,SHOW,2021,58,1234839
comedy,MOVIE,2016,94,1228168
crime,MOVIE,2020,52,1214378
scifi,MOVIE,2017,24,1213836
crime,MOVIE,2012,13,1212506
action,MOVIE,2020,79,1190605
scifi,MOVIE,2021,28,1172436
romance,MOVIE,2019,87,1166616
action,SHOW,2019,59,1159726
romance,MOVIE,2012,10,1141271
fantasy,MOVIE,2010,7,1132149
romance,MOVIE,2003,7,1118598
action,MOVIE,2007,11,1110231
fantasy,SHOW,2019,43,1100272
scifi,MOVIE,2012,6,1094103
crime,SHOW,2015,14,1092061
thriller,MOVIE,2003,7,1068279
scifi,SHOW,2014,10,1054790
horror,MOVIE,2013,12,1050620
scifi,SHOW,2018,57,1043045
crime,SHOW,2013,4,1040982
horror,SHOW,2016,8,1036669
action,SHOW,2014,17,1036240
crime,MOVIE,2011,11,1029215
family,MOVIE,2010,8,1027582
war,MOVIE,2017,12,1023048
animation,MOVIE,2010,8,1022984
drama,MOVIE,2006,20,1009994
scifi,MOVIE,2018,27,1007964
romance,MOVIE,2013,24,1001586
romance,MOVIE,2018,78,997920
crime,MOVIE,2014,16,997885
action,MOVIE,2014,22,988643
scifi,SHOW,2010,6,987802
crime,MOVIE,2009,8,981146
action,MOVIE,2013,19,979515
drama,MOVIE,2005,16,975148
history,MOVIE,2017,20,972172
crime,MOVIE,2016,33,971119
action,SHOW,2010,10,968774
crime,SHOW,2018,54,962573
drama,SHOW,2011,17,957239
thriller,SHOW,2015,17,951852
thriller,SHOW,2021,53,949248
horror,SHOW,2019,24,948795
horror,SHOW,2010,3,945683
thriller,SHOW,2010,3,945378
fantasy,MOVIE,2014,13,930264
drama,SHOW,2005,5,919748
history,MOVIE,2019,27,911241
comedy,MOVIE,2009,20,907084
horror,MOVIE,2018,39,879034
comedy,MOVIE,2005,13,874436
fantasy,MOVIE,2005,7,870387
horror,MOVIE,2017,25,866259
action,MOVIE,2015,26,858328
comedy,MOVIE,2007,19,846274
action,MOVIE,2018,57,845901
action,MOVIE,2006,6,834962
action,SHOW,2018,67,825765
european,MOVIE,2006,4,821178
romance,MOVIE,2007,15,815981
comedy,SHOW,2017,79,815755
crime,MOVIE,1976,2,795990
drama,MOVIE,1976,2,795990
scifi,MOVIE,2013,4,786372
comedy,MOVIE,2003,9,784765
european,MOVIE,2018,86,781332
european,MOVIE,2013,10,763773
war,MOVIE,2014,3,760930
comedy,MOVIE,2006,20,757302
action,MOVIE,1998,6,754054
scifi,MOVIE,2019,28,750557
family,MOVIE,2005,5,749339
scifi,SHOW,2021,44,742062
scifi,MOVIE,1997,5,740954
scifi,SHOW,2005,3,734147
european,MOVIE,2019,51,729944
fantasy,SHOW,2005,2,725975
scifi,SHOW,2015,21,725335
drama,MOVIE,1987,3,723731
war,MOVIE,1987,1,723306
drama,MOVIE,1986,5,722842
drama,MOVIE,2001,10,710140
fantasy,MOVIE,2017,38,707252
horror,MOVIE,2019,31,702734
drama,SHOW,2012,15,700390
thriller,MOVIE,1998,8,700335
horror,MOVIE,2021,38,698006
fantasy,MOVIE,2009,5,696956
thriller,MOVIE,2005,7,696919
action,MOVIE,2005,7,694330
european,MOVIE,2010,4,693421
action,SHOW,2017,31,692295
scifi,MOVIE,2009,3,687948
thriller,SHOW,2020,49,681132
thriller,SHOW,2019,55,677496
crime,SHOW,2019,64,676628
comedy,SHOW,2018,97,676615
horror,MOVIE,1997,4,675338
fantasy,SHOW,2021,41,671897
comedy,MOVIE,2004,15,667430
horror,MOVIE,2016,16,667382
romance,MOVIE,2005,9,665528
romance,MOVIE,2021,82,664979
fantasy,MOVIE,2018,33,657518
comedy,MOVIE,2013,43,647917
crime,SHOW,2021,70,647536
romance,MOVIE,2020,73,645415
family,MOVIE,2014,14,641599
animation,MOVIE,2014,12,636084
action,SHOW,2012,8,630990
action,SHOW,2015,21,627702
western,MOVIE,2015,3,618111
thriller,MOVIE,2002,4,617981
thriller,SHOW,2005,2,617830
history,MOVIE,2008,4,612016
action,MOVIE,1997,6,610870
sport,MOVIE,2013,5,606133
scifi,MOVIE,2015,9,603979
horror,MOVIE,2015,11,602698
scifi,MOVIE,2014,10,600482
fantasy,MOVIE,2020,45,599807
scifi,SHOW,2012,7,596628
comedy,MOVIE,2015,68,587079
fantasy,MOVIE,2006,4,585394
comedy,SHOW,2011,14,579242
european,SHOW,2017,22,573029
fantasy,SHOW,2013,14,571503
thriller,SHOW,2011,6,562647
scifi,SHOW,2011,8,556764
horror,MOVIE,2002,2,556349
sport,SHOW,2020,9,554139
romance,MOVIE,2017,64,553658
war,MOVIE,2003,2,550163
european,MOVIE,2003,2,543216
european,SHOW,2011,3,538034
comedy,SHOW,2021,89,534893
crime,MOVIE,2018,50,531232
comedy,MOVIE,1975,1,530877
fantasy,MOVIE,1975,1,530877
romance,MOVIE,2015,34,529971
family,MOVIE,2007,4,525355
romance,MOVIE,2014,22,522662
scifi,SHOW,2013,10,522181
sport,MOVIE,2011,4,520446
european,SHOW,2013,4,520084
fantasy,MOVIE,2003,3,519680
scifi,SHOW,2020,56,519410
comedy,SHOW,2003,7,512978
comedy,MOVIE,2001,8,512100
fantasy,MOVIE,2016,19,509309
drama,MOVIE,2022,51,499578
crime,MOVIE,2010,9,498749
horror,SHOW,2013,3,496545
scifi,SHOW,2017,26,496503
crime,SHOW,2012,4,494197
romance,MOVIE,2008,10,491177
war,MOVIE,2009,2,489121
crime,SHOW,2016,18,488391
scifi,MOVIE,2005,3,482781
romance,MOVIE,1998,7,481380
horror,MOVIE,2020,36,475179
comedy,SHOW,2016,54,472077
romance,MOVIE,2009,13,471438
crime,MOVIE,2003,4,467437
comedy,MOVIE,1998,9,464494
european,MOVIE,2015,12,462282
drama,SHOW,2006,8,458999
scifi,MOVIE,1998,2,458903
fantasy,MOVIE,2007,5,457837
comedy,SHOW,2020,77,453071
european,MOVIE,2011,6,450188
romance,SHOW,2020,35,444563
crime,SHOW,2020,48,436748
romance,MOVIE,2006,9,432439
fantasy,MOVIE,2021,41,432143
drama,MOVIE,2002,6,431719
romance,SHOW,2017,21,430858
history,MOVIE,2003,1,429097
comedy,MOVIE,1979,4,428780
horror,SHOW,2005,1,428639
european,MOVIE,2008,5,425520
action,MOVIE,1995,7,420256
horror,MOVIE,2011,7,414268
action,MOVIE,1993,6,413671
thriller,MOVIE,1995,4,413051
documentation,SHOW,2020,62,412972
animation,MOVIE,2016,14,408276
fantasy,SHOW,2018,45,406573
crime,SHOW,2014,7,405953
horror,SHOW,2018,16,404671
action,MOVIE,2000,3,404498
family,MOVIE,2011,10,404428
drama,MOVIE,2004,11,404176
action,SHOW,2016,29,403520
crime,MOVIE,2002,3,403520
thriller,SHOW,2014,5,401388
fantasy,MOVIE,2015,9,397443
scifi,MOVIE,2003,1,393998
horror,MOVIE,1973,1,391942
fantasy,MOVIE,2012,6,391736
romance,MOVIE,2004,8,389753
family,MOVIE,2016,22,388908
fantasy,SHOW,2020,31,388490
comedy,MOVIE,2008,24,387931
european,MOVIE,2005,5,386805
romance,MOVIE,2016,30,383720
comedy,SHOW,2013,19,382767
scifi,SHOW,2006,3,379296
crime,MOVIE,2008,11,378828
drama,MOVIE,1999,8,378534
animation,SHOW,2006,4,375189
documentation,MOVIE,2020,87,372794
european,MOVIE,2009,2,370441
action,SHOW,2020,40,369549
crime,MOVIE,1997,2,364698
thriller,SHOW,2006,2,364514
war,MOVIE,2012,3,363203
crime,MOVIE,2005,6,362872
documentation,MOVIE,2002,3,362465
sport,MOVIE,2009,3,362111
european,MOVIE,2016,43,357756
action,SHOW,2013,10,353044
romance,MOVIE,2010,15,351472
history,MOVIE,2012,3,351301
documentation,MOVIE,2017,85,350232
animation,SHOW,2013,14,349764
comedy,MOVIE,2022,51,348948
romance,SHOW,2018,36,347078
animation,MOVIE,2011,9,343132
drama,MOVIE,1984,3,342873
crime,MOVIE,1984,1,342335
european,MOVIE,1984,1,342335
european,MOVIE,2002,1,341888
action,MOVIE,2002,6,341803
crime,MOVIE,2013,16,340900
horror,MOVIE,1998,2,340450
comedy,SHOW,1989,3,340420
crime,MOVIE,2006,7,340079
animation,SHOW,2019,44,335882
family,MOVIE,2006,5,335526
western,MOVIE,2010,1,333378
horror,MOVIE,2006,4,332351
action,MOVIE,1986,3,329843
crime,MOVIE,2001,3,327171
drama,SHOW,2009,7,325230
romance,SHOW,2009,4,324781
fantasy,MOVIE,2008,6,323846
comedy,SHOW,2014,19,323114
drama,SHOW,2022,54,319159
fantasy,SHOW,2006,3,317841
romance,SHOW,2011,8,317649
fantasy,SHOW,2009,3,313081
thriller,SHOW,2009,2,312727
animation,SHOW,2021,50,312706
horror,SHOW,2009,1,310776
scifi,SHOW,2009,1,310776
fantasy,SHOW,2015,12,308326
drama,MOVIE,2000,4,307387
scifi,MOVIE,2020,23,305980
animation,SHOW,2005,4,305697
family,SHOW,2005,4,305697
action,SHOW,2005,2,305508
european,SHOW,2016,15,302265
crime,SHOW,2006,1,302147
animation,MOVIE,2006,3,301529
scifi,MOVIE,2011,2,300481
crime,MOVIE,2007,11,300273
thriller,SHOW,2013,3,299475
history,MOVIE,2009,1,297525
european,MOVIE,2001,3,297409
romance,SHOW,2005,2,293746
thriller,MOVIE,1993,5,290478
family,MOVIE,2021,40,290435
comedy,SHOW,2009,12,290210
history,MOVIE,2020,16,288802
war,MOVIE,2016,8,288745
horror,MOVIE,2012,3,285533
comedy,SHOW,2006,6,284452
history,SHOW,2019,18,280378
action,MOVIE,2004,10,279974
animation,MOVIE,2005,3,277856
european,MOVIE,2007,7,277468
western,MOVIE,1995,2,275862
thriller,MOVIE,2004,8,275349
family,MOVIE,2017,31,272094
documentation,SHOW,2019,47,271719
fantasy,MOVIE,2002,3,270334
history,MOVIE,2000,1,270231
war,MOVIE,2000,1,270231
war,MOVIE,2008,3,268572
crime,MOVIE,2022,21,267179
romance,SHOW,2016,19,264531
horror,SHOW,2020,14,261360
horror,MOVIE,2003,3,259636
sport,MOVIE,2017,10,259419
documentation,MOVIE,2019,90,257313
documentation,MOVIE,2012,5,256503
documentation,MOVIE,2015,21,256281
drama,MOVIE,1993,11,255452
western,MOVIE,2017,5,254107
crime,MOVIE,1995,3,253666
crime,MOVIE,1998,4,251013
music,MOVIE,2020,32,250260
history,SHOW,2016,9,250003
animation,MOVIE,2021,39,248340
comedy,MOVIE,1993,6,246768
family,MOVIE,2019,38,246685
western,MOVIE,2016,2,243352
animation,SHOW,2018,67,243255
comedy,MOVIE,1996,5,242328
comedy,SHOW,2012,17,240840
comedy,MOVIE,2000,4,239474
scifi,MOVIE,2004,2,237007
animation,MOVIE,2009,3,235233
romance,SHOW,2014,11,234387
action,MOVIE,2022,16,233842
european,SHOW,2010,5,232047
history,SHOW,2020,13,232040
romance,MOVIE,2001,3,231038
horror,MOVIE,1984,1,230543
documentation,MOVIE,2006,6,230425
family,MOVIE,2009,1,226225
music,MOVIE,2018,26,226171
comedy,MOVIE,2002,7,225549
history,MOVIE,2018,12,224931
animation,MOVIE,2019,32,223618
animation,SHOW,2015,24,223265
fantasy,SHOW,2014,8,222784
horror,MOVIE,2010,3,222664
romance,SHOW,2010,3,222612
european,MOVIE,2020,25,221210
documentation,MOVIE,2011,8,220079
thriller,MOVIE,2022,22,218360
sport,MOVIE,1996,1,217534
western,MOVIE,2021,3,216717
documentation,MOVIE,2018,72,216582
horror,MOVIE,2014,7,216533
drama,MOVIE,1989,4,214601
scifi,MOVIE,2002,1,214461
thriller,MOVIE,2001,4,214437
comedy,MOVIE,1989,3,214435
romance,MOVIE,1989,1,212913
horror,MOVIE,2009,5,211021
war,MOVIE,2019,10,207421
european,SHOW,2015,18,203912
history,MOVIE,2006,2,201221
family,MOVIE,2020,59,200148
sport,SHOW,2018,9,195331
animation,SHOW,2014,12,194586
horror,SHOW,2015,4,193897
animation,SHOW,2012,12,193346
scifi,MOVIE,2022,7,192519
crime,MOVIE,2004,5,192507
sport,SHOW,2006,3,190380
family,MOVIE,2018,33,190339
music,MOVIE,2013,5,190334
crime,SHOW,2005,1,189191
sport,MOVIE,2016,6,188704
romance,SHOW,2019,43,188691
fantasy,MOVIE,2004,4,187608
family,SHOW,2018,40,186370
animation,MOVIE,2013,12,185708
family,MOVIE,2013,10,185007
fantasy,MOVIE,2019,31,184794
music,MOVIE,2006,2,183732
european,MOVIE,1995,1,183638
documentation,MOVIE,2021,75,182679
music,MOVIE,2016,9,182557
fantasy,MOVIE,1993,2,182418
european,MOVIE,1999,2,181519
western,MOVIE,1998,1,181306
scifi,MOVIE,2016,10,179889
war,SHOW,2015,6,178761
horror,SHOW,2021,11,177946
horror,MOVIE,2004,2,176363
thriller,SHOW,2022,20,172808
documentation,SHOW,2018,49,170884
documentation,SHOW,2021,65,170213
european,MOVIE,2014,10,170100
fantasy,SHOW,2012,5,169997
family,MOVIE,1993,3,169151
action,MOVIE,2001,5,168422
war,SHOW,2016,7,166784
crime,SHOW,2011,5,164276
horror,SHOW,2017,13,164031
crime,MOVIE,1993,5,163963
war,MOVIE,2020,10,163132
drama,MOVIE,1995,7,161827
animation,SHOW,2017,31,161138
family,MOVIE,2004,4,158792
european,SHOW,2018,5,158720
fantasy,MOVIE,2013,8,157699
sport,MOVIE,2005,2,156704
thriller,MOVIE,2000,2,155531
documentation,MOVIE,2016,36,154128
action,MOVIE,1971,1,153463
crime,MOVIE,1971,1,153463
thriller,MOVIE,1971,1,153463
thriller,SHOW,2003,4,153247
war,SHOW,2018,9,152899
drama,MOVIE,1990,5,152372
action,SHOW,2003,3,150735
european,SHOW,2006,2,148321
history,SHOW,2015,7,146479
western,MOVIE,2018,4,145921
drama,SHOW,2003,3,145665
horror,MOVIE,2007,2,144850
european,MOVIE,1998,3,144368
history,MOVIE,1997,2,144133
comedy,SHOW,1998,5,143688
drama,SHOW,1998,4,141985
scifi,SHOW,1998,4,141985
drama,SHOW,2000,4,141685
history,MOVIE,2021,17,141500
war,MOVIE,1997,1,141308
crime,SHOW,2003,1,141049
music,MOVIE,2019,31,139721
fantasy,SHOW,2017,27,139692
fantasy,SHOW,2011,7,139395
comedy,SHOW,2000,3,139359
animation,SHOW,2011,13,138890
family,MOVIE,2015,10,138846
action,SHOW,1998,3,138711
animation,SHOW,1998,3,138711
family,SHOW,2012,8,137669
european,MOVIE,1990,1,137549
documentation,SHOW,2015,11,136786
comedy,MOVIE,1991,6,135766
family,MOVIE,1991,2,135299
war,MOVIE,2018,5,135289
romance,SHOW,2021,37,134698
